DATUM,Category,Type,Year,Value,Prev_Year_Value,Change_Prev_Month_Pct,Change_Prev_Year_Pct,12M_Moving_Avg,Month
2000-01-01,Fluchtunfälle,insgesamt,2000,835.0,,,,835.0,1
2000-01-01,Alkoholunfälle,Verletzte und Getötete,2000,37.0,,,,37.0,1
2000-01-01,Fluchtunfälle,Verletzte und Getötete,2000,34.0,,,,34.0,1
2000-01-01,Verkehrsunfälle,mit Personenschäden,2000,321.0,,,,321.0,1
2000-01-01,Alkoholunfälle,insgesamt,2000,78.0,,,,78.0,1
2000-01-01,Verkehrsunfälle,Verletzte und Getötete,2000,434.0,,,,434.0,1
2000-01-01,Verkehrsunfälle,insgesamt,2000,3448.0,,,,3448.0,1
2000-02-01,Verkehrsunfälle,Verletzte und Getötete,2000,419.0,,-3.46,,427.0,2
2000-02-01,Verkehrsunfälle,mit Personenschäden,2000,329.0,,2.49,,325.0,2
2000-02-01,Verkehrsunfälle,insgesamt,2000,3181.0,,-7.74,,3315.0,2
2000-02-01,Fluchtunfälle,insgesamt,2000,890.0,,6.59,,863.0,2
2000-02-01,Alkoholunfälle,insgesamt,2000,53.0,,-32.05,,66.0,2
2000-02-01,Fluchtunfälle,Verletzte und Getötete,2000,35.0,,2.94,,35.0,2
2000-02-01,Alkoholunfälle,Verletzte und Getötete,2000,19.0,,-48.65,,28.0,2
2000-03-01,Alkoholunfälle,Verletzte und Getötete,2000,18.0,,-5.26,,25.0,3
2000-03-01,Verkehrsunfälle,Verletzte und Getötete,2000,509.0,,21.48,,454.0,3
2000-03-01,Verkehrsunfälle,insgesamt,2000,3783.0,,18.92,,3471.0,3
2000-03-01,Alkoholunfälle,insgesamt,2000,73.0,,37.74,,68.0,3
2000-03-01,Fluchtunfälle,insgesamt,2000,974.0,,9.44,,900.0,3
2000-03-01,Verkehrsunfälle,mit Personenschäden,2000,414.0,,25.84,,355.0,3
2000-03-01,Fluchtunfälle,Verletzte und Getötete,2000,48.0,,37.14,,39.0,3
2000-04-01,Fluchtunfälle,insgesamt,2000,834.0,,-14.37,,883.0,4
2000-04-01,Verkehrsunfälle,Verletzte und Getötete,2000,557.0,,9.43,,480.0,4
2000-04-01,Alkoholunfälle,Verletzte und Getötete,2000,26.0,,44.44,,25.0,4
2000-04-01,Alkoholunfälle,insgesamt,2000,78.0,,6.85,,71.0,4
2000-04-01,Verkehrsunfälle,insgesamt,2000,3317.0,,-12.32,,3432.0,4
2000-04-01,Fluchtunfälle,Verletzte und Getötete,2000,57.0,,18.75,,44.0,4
2000-04-01,Verkehrsunfälle,mit Personenschäden,2000,441.0,,6.52,,376.0,4
2000-05-01,Verkehrsunfälle,Verletzte und Getötete,2000,675.0,,21.18,,519.0,5
2000-05-01,Alkoholunfälle,Verletzte und Getötete,2000,44.0,,69.23,,29.0,5
2000-05-01,Fluchtunfälle,Verletzte und Getötete,2000,69.0,,21.05,,49.0,5
2000-05-01,Verkehrsunfälle,insgesamt,2000,4123.0,,24.3,,3570.0,5
2000-05-01,Fluchtunfälle,insgesamt,2000,1086.0,,30.22,,924.0,5
2000-05-01,Alkoholunfälle,insgesamt,2000,96.0,,23.08,,76.0,5
2000-05-01,Verkehrsunfälle,mit Personenschäden,2000,568.0,,28.8,,415.0,5
2000-06-01,Verkehrsunfälle,mit Personenschäden,2000,555.0,,-2.29,,438.0,6
2000-06-01,Verkehrsunfälle,Verletzte und Getötete,2000,685.0,,1.48,,547.0,6
2000-06-01,Verkehrsunfälle,insgesamt,2000,3329.0,,-19.26,,3530.0,6
2000-06-01,Alkoholunfälle,Verletzte und Getötete,2000,32.0,,-27.27,,29.0,6
2000-06-01,Alkoholunfälle,insgesamt,2000,57.0,,-40.63,,73.0,6
2000-06-01,Fluchtunfälle,insgesamt,2000,842.0,,-22.47,,910.0,6
2000-06-01,Fluchtunfälle,Verletzte und Getötete,2000,58.0,,-15.94,,50.0,6
2000-07-01,Verkehrsunfälle,mit Personenschäden,2000,610.0,,9.91,,463.0,7
2000-07-01,Fluchtunfälle,insgesamt,2000,1102.0,,30.88,,938.0,7
2000-07-01,Verkehrsunfälle,insgesamt,2000,4282.0,,28.63,,3638.0,7
2000-07-01,Verkehrsunfälle,Verletzte und Getötete,2000,744.0,,8.61,,575.0,7
2000-07-01,Alkoholunfälle,Verletzte und Getötete,2000,37.0,,15.63,,30.0,7
2000-07-01,Alkoholunfälle,insgesamt,2000,99.0,,73.68,,76.0,7
2000-07-01,Fluchtunfälle,Verletzte und Getötete,2000,67.0,,15.52,,53.0,7
2000-08-01,Verkehrsunfälle,mit Personenschäden,2000,525.0,,-13.93,,470.0,8
2000-08-01,Verkehrsunfälle,Verletzte und Getötete,2000,647.0,,-13.04,,584.0,8
2000-08-01,Verkehrsunfälle,insgesamt,2000,3387.0,,-20.9,,3606.0,8
2000-08-01,Alkoholunfälle,Verletzte und Getötete,2000,32.0,,-13.51,,31.0,8
2000-08-01,Alkoholunfälle,insgesamt,2000,77.0,,-22.22,,76.0,8
2000-08-01,Fluchtunfälle,insgesamt,2000,881.0,,-20.05,,931.0,8
2000-08-01,Fluchtunfälle,Verletzte und Getötete,2000,74.0,,10.45,,55.0,8
